Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,location,lat,lng
5213,MCGGLEWN,MCGAVOCK PIKE & GLENMEADE DR WB,FALSE,FALSE,20,SCOTT,"(36.132666, -86.629191)",36.132666,-86.629191
4352,FAICLIE,FAIN ST & CLAIBORNE ST EB,FALSE,FALSE,25,MIDTOWN,"(36.168958, -86.810828)",36.168958,-86.810828
5184,DONSHANM,DONELSON PIKE & SHACLETT DR NB,FALSE,FALSE,18,AIRPORT - DOWNTOWN HOTELS,"(36.151927, -86.851027)",36.151927,-86.851027
5195,ACK12AWN,ACKLEN AVE & S 12TH AVE NB,FALSE,FALSE,17,12TH AVENUE SOUTH,"(36.153681, -86.733762)",36.153681,-86.733762
1673,NXINVZOO,NASHVILLE ZOO STATION INBOUND,FALSE,TRUE,52,NOLENSVILLE PK BRT LITE,"(36.24887, -86.719915)",36.24887,-86.719915
797,DICWHINF,DICKERSON PIKE & WHITE CREEK PK NB,FALSE,FALSE,43,HICKORY HILLS,"(36.189811, -86.754234)",36.189811,-86.754234
568,CXISYLPA,42ND AVE/SYLVAN PARK STATION INBOUND,TRUE,FALSE,"10,50",CHARLOTTE,"(36.203172, -86.789223)",36.203172,-86.789223
226,5AVCHUNN,5TH AVE N & CHURCH ST NB,TRUE,TRUE,"60,61,63",MUSIC CITY BLUE CIRCUIT,"(36.177012, -86.741988)",36.177012,-86.741988
181,MAD2AVEN,MADISON ST & 2ND AVE N EB,FALSE,FALSE,"28,41,9",METROCENTER,"(36.10162, -86.922942)",36.10162,-86.922942
1440,MCGGRENN,MCGAVOCK PIKE & GREENLAND AVE NB,FALSE,FALSE,20,SCOTT,"(36.153204, -86.769479)",36.153204,-86.769479
730,DEL26AEF,DELK AVE & 26TH AVE N WB,FALSE,FALSE,42,ST. CECILIA - CUMBERLAND,"(36.204976, -86.737517)",36.204976,-86.737517
682,CLAEDTSN,CLARKSVILLE PIKE & ED TEMPLE BLVD S,FALSE,FALSE,22,BORDEAUX,"(36.166456, -86.781222)",36.166456,-86.781222
4652,DEM3AEN,DEMONBREUN ST & 3RD AVE EB,FALSE,FALSE,93,MUSIC CITY STAR WEST END SHUTTLE,"(36.152481, -86.773181)",36.152481,-86.773181
228,5ACOMNN,5TH AVE N & COMMERCE ST NB,FALSE,FALSE,"60,61",MUSIC CITY BLUE CIRCUIT,"(36.197856, -86.837557)",36.197856,-86.837557
